Agents;Overall Pick Rate;Split;Bind;Haven;Ascent;Icebox;Breeze;Fracture
Jett;65.00;40.00;0;83.33;100.00;79.17;100.00;37.50
Sova;49.17;0;8.33;22.22;100.00;100.00;100.00;0
Viper;45.83;40.00;83.33;0;0;100.00;100.00;43.75
Chamber;44.17;15.00;41.67;33.33;25.00;58.33;100.00;81.25
Sage;42.50;90.00;33.33;0;12.50;95.83;0;18.75
Omen;38.33;50.00;16.67;77.78;79.17;4.17;0;0
Kay/o;33.33;5.00;0;16.67;70.83;37.50;83.33;31.25
Skye;32.50;45.00;100.00;77.78;12.50;0;16.67;0
Breach;30.00;35.00;16.67;66.67;0;0;0;93.75
Raze;28.33;80.00;100.00;0;0;0;0;37.50
KillJoy;26.67;5.00;0;50.00;75.00;16.67;0;0
Astra;22.50;50.00;33.33;22.22;16.67;0;0;31.25
Brimstone;15.00;0;50.00;0;4.17;0;0;68.75
Cypher;12.50;40.00;0;16.67;4.17;0;0;18.75
Neon;8.33;5.00;0;16.67;0;0;0;37.50
Reyna;4.17;0;0;16.67;0;8.33;0;0
Yoru;1.67;0;16.67;0;0;0;0;0
